waterbody	pixel	pix_FID
LakeSanAntonio_20190801	P1	20
LakeSanAntonio_20190801	P2	36
LakeSanAntonio_20190801	P3	31
SanPabloReservoir_20190812	P1	2
SanPabloReservoir_20190812	P2	4
SanPabloReservoir_20190812	P3	1
ClearLake_20190807	P1	977
ClearLake_20190807	P2	1023
ClearLake_20190807	P3	957
LakeAlmanor_20190815	P1	86
LakeAlmanor_20190815	P2	55
LakeAlmanor_20190815	P3	307
ClearLake_20190816	CL03C	1457
ClearLake_20190816	CL03F	1458
ClearLake_20190816	LA03C	1347
ClearLake_20190816	LA03D	1336
ClearLake_20190816	OA04C	1230
ClearLake_20190816	OA04D	1229
ClearLake_20191008	CL03C	1391
ClearLake_20191008	LA03C	1332
ClearLake_20191008	UA07C	587
ClearLake_20191008	OA04C	1245
ClearLake_20191008	UA06C	640
